2010-03-02 11:40:52: 失败
2010-03-02 11:40:56: 失败
2010-03-02 16:40:16: fail to execute sql!Unknown column '房地产、药品' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (49,45,1.81,房地产、药品,1) ON DUPLICATE KEY update fh_id=49 and pm=45 and sr=1.81 and industry=房地产、药品 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '药品' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (50,45,1.81,药品,1) ON DUPLICATE KEY update fh_id=50 and pm=45 and sr=1.81 and industry=药品 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '果冻布丁' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (51,45,1.81,果冻布丁,1) ON DUPLICATE KEY update fh_id=51 and pm=45 and sr=1.81 and industry=果冻布丁 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '金融、房地产' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (52,45,1.81,金融、房地产,1) ON DUPLICATE KEY update fh_id=52 and pm=45 and sr=1.81 and industry=金融、房地产 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '房地产' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (53,50,1.8,房地产,1) ON DUPLICATE KEY update fh_id=53 and pm=50 and sr=1.8 and industry=房地产 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '环保材料、纺织、药品' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (54,51,1.76,环保材料、纺织、药品,1) ON DUPLICATE KEY update fh_id=54 and pm=51 and sr=1.76 and industry=环保材料、纺织、药品 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '投资、房地产' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (55,52,1.72,投资、房地产 ,1) ON DUPLICATE KEY update fh_id=55 and pm=52 and sr=1.72 and industry=投资、房地产  and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '农业、阀门、基础建设' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (56,53,1.69,农业、阀门、基础建设,1) ON DUPLICATE KEY update fh_id=56 and pm=53 and sr=1.69 and industry=农业、阀门、基础建设 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '药品' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (57,54,1.65,药品,1) ON DUPLICATE KEY update fh_id=57 and pm=54 and sr=1.65 and industry=药品 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '钢铁产品' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (58,55,1.6,钢铁产品 ,1) ON DUPLICATE KEY update fh_id=58 and pm=55 and sr=1.6 and industry=钢铁产品  and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '养猪、房地产' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (59,55,1.6,养猪、房地产,1) ON DUPLICATE KEY update fh_id=59 and pm=55 and sr=1.6 and industry=养猪、房地产 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '药品、房地产' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (60,57,1.59,药品、房地产,1) ON DUPLICATE KEY update fh_id=60 and pm=57 and sr=1.59 and industry=药品、房地产 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '饮料、童装' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (61,58,1.57,饮料、童装,1) ON DUPLICATE KEY update fh_id=61 and pm=58 and sr=1.57 and industry=饮料、童装 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '药品' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (62,58,1.57,药品,1) ON DUPLICATE KEY update fh_id=62 and pm=58 and sr=1.57 and industry=药品 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '房地产' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (63,58,1.57,房地产,1) ON DUPLICATE KEY update fh_id=63 and pm=58 and sr=1.57 and industry=房地产 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '房地产' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (64,58,1.57,房地产,1) ON DUPLICATE KEY update fh_id=64 and pm=58 and sr=1.57 and industry=房地产 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '建筑及房地产' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (65,58,1.57,建筑及房地产,1) ON DUPLICATE KEY update fh_id=65 and pm=58 and sr=1.57 and industry=建筑及房地产 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '房地产' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (66,63,1.56,房地产,1) ON DUPLICATE KEY update fh_id=66 and pm=63 and sr=1.56 and industry=房地产 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '公用事业、房地产' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (67,64,1.55,公用事业、房地产,1) ON DUPLICATE KEY update fh_id=67 and pm=64 and sr=1.55 and industry=公用事业、房地产 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '房地产' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (68,65,1.54,房地产,1) ON DUPLICATE KEY update fh_id=68 and pm=65 and sr=1.54 and industry=房地产 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '在线游戏' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (69,66,1.5,在线游戏,1) ON DUPLICATE KEY update fh_id=69 and pm=66 and sr=1.5 and industry=在线游戏 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '摩托车、发动机' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (70,66,1.5,摩托车、发动机,1) ON DUPLICATE KEY update fh_id=70 and pm=66 and sr=1.5 and industry=摩托车、发动机 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '谷类产品' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (71,66,1.5,谷类产品,1) ON DUPLICATE KEY update fh_id=71 and pm=66 and sr=1.5 and industry=谷类产品 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '玻璃及太阳农产品' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (72,66,1.5,玻璃及太阳农产品,1) ON DUPLICATE KEY update fh_id=72 and pm=66 and sr=1.5 and industry=玻璃及太阳农产品 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '房地产、电子支付系统及零售' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (73,70,1.45,房地产、电子支付系统及零售,1) ON DUPLICATE KEY update fh_id=73 and pm=70 and sr=1.45 and industry=房地产、电子支付系统及零售 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '钢铁产品' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (74,71,1.43,钢铁产品,1) ON DUPLICATE KEY update fh_id=74 and pm=71 and sr=1.43 and industry=钢铁产品 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '投资、电子产品' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (75,72,1.43,投资、电子产品,1) ON DUPLICATE KEY update fh_id=75 and pm=72 and sr=1.43 and industry=投资、电子产品 and bd_id=1
